,Median OR,95% Interval,90% Interval,75% Interval
5-HETE,1.11389635,"(1.0, 1.77216152)","(1.0, 1.7209905)","(1.0, 1.48646378)"
1-palmitoyl-2-stearoyl-GPC (16:0/18:0),1.0934537,"(1.0, 1.69519877)","(1.0, 1.53311253)","(1.0, 1.36697463)"
arabitol/xylitol,0.9160674,"(1.0, 0.59060963)","(1.0, 0.61489731)","(1.0, 0.71892373)"
carnosine,0.93382066,"(1.0, 0.6943355)","(1.0, 0.70822035)","(1.0, 0.77120581)"
isoxanthohumol,0.94596096,"(1.0, 0.66851262)","(1.0, 0.73513583)","(1.0, 0.76620923)"
"2,3-dihydroxyisovalerate",0.94652466,"(1.0, 0.67314131)","(1.0, 0.71219751)","(1.0, 0.74564922)"
1-palmitoyl-2-linoleoyl-digalactosylglycerol (16:0/18:2)*,0.95637541,"(1.0, 0.67146056)","(1.0, 0.69558643)","(1.0, 0.73454795)"
ondansetron,0.96041191,"(1.0, 0.6062881)","(1.0, 0.63718197)","(1.0, 0.76132115)"
butyrylcarnitine (C4),0.96266996,"(1.0, 0.50313337)","(1.0, 0.65194179)","(1.0, 0.72339491)"
dextromethorphan,0.97020804,"(1.0, 0.64946911)","(1.0, 0.6771923)","(1.0, 0.78137507)"
3-hydroxyphenylacetate,0.97086747,"(1.0, 0.70985113)","(1.0, 0.73322696)","(1.0, 0.76682244)"
7-methylxanthine,0.97442526,"(1.0, 0.7545)","(1.0, 0.77336821)","(1.0, 0.80380386)"
carotene diol (3),0.98236957,"(1.0, 0.61281021)","(1.0, 0.69809506)","(1.0, 0.76506078)"
2-dimethylaminoethanol,1.01385062,"(1.0, 1.38902214)","(1.0, 1.38016078)","(1.0, 1.20514513)"
4-ethylphenyl sulfate,0.98728128,"(1.0, 0.69649128)","(1.0, 0.71993093)","(1.0, 0.78552735)"
N-oleoylglycine,0.99186367,"(1.0, 0.72774832)","(1.0, 0.79072898)","(1.0, 0.82267011)"
choline,1.00765873,"(1.0, 1.25784508)","(1.0, 1.24844653)","(1.0, 1.19566199)"
cotinine,0.9938637,"(1.0, 0.72368432)","(1.0, 0.75261611)","(1.0, 0.820616)"
ofloxacin,1.00349375,"(1.0, 1.51876879)","(1.0, 1.49585807)","(1.0, 1.27404898)"
4-hydroxyphenylpyruvate,1.00328373,"(1.0, 1.49122809)","(1.0, 1.38860549)","(1.0, 1.27417639)"
hydroxyproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecasphingosine (d16:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecanedioate (C16),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroxymethylpyrimidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroxybupropion,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hesperidin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecadienoate (16:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histidylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroquinone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecenedioate (C16:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histidine betaine (hercynine)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homocitrulline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homostachydrine*,1.0,"(1.0, 1.0759457)","(1.0, 1.06940241)","(1.0, 1.0)"
histidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
histamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homovanillate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexadecatrienoate (16:3n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydantoin-5-propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoylglycine (C6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydrochlorothiazide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoylcarnitine (C6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
homo-cis-aconitate,1.0,"(1.0, 0.90474694)","(1.0, 0.93146189)","(1.0, 0.96589514)"
"hydroxy-N6,N6,N6-trimethyllysine*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hexanoyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hippurate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
(12 or 13)-methylmyristate (a15:0 or i15:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptenedioate (C7:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycolithocholate sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycolithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycohyocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycodeoxycholate 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholenate sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate glucuronide (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate glucuronide (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glyco-beta-muricholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycitein sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycitein,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoserine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hesperetin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycoursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptanoate (7:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptadecatrienoate (17:3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptadecasphingosine (d17:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heneicosapentaenoate (21:5n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hyocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
harmane,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gulonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"guanosine-2',3'-cyclic monophosphate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanidinosuccinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanidinoacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guaiacol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycyrrhetinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylvaline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylisoleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycoursodeoxycholic acid sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heme,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacetylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hypoxanthine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenoylcarnitine (C18:3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenoyl-linolenoyl-glycerol (18:3/18:3) [2]*,1.0,"(1.0, 1.39096813)","(1.0, 1.21397488)","(1.0, 1.16485894)"
linolenoyl-linolenoyl-glycerol (18:3/18:3) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenate (18:3n3 or 3n6),1.0,"(1.0, 1.0206095)","(1.0, 1.0)","(1.0, 1.0)"
linoleate (18:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
limonin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lignoceroylcarnitine (C24)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lignoceroyl sphingomyelin (d18:1/24:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lignoceroyl ethanolamide (24:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
levulinate (4-oxovalerate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
levetiracetam,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylglutamine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucine,1.0,"(1.0, 1.00420883)","(1.0, 1.0)","(1.0, 1.0)"
laurylcarnitine (C12),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
laurate (12:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
malate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lysylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
luteolin sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
luteolin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lovastatin hydroxy acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
losartan,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
loratadine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
loperamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lithocholic acid sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lithocholate sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lisinopril,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoylcarnitine (C18:2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hypotaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lansoprazole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lamivudine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproate (i6:0),1.0,"(1.0, 0.97229113)","(1.0, 1.0)","(1.0, 1.0)"
isobutyrylglycine (C4),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isobutyrylcarnitine (C4),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
inosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolin-2-one,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolepropionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolelactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacrylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indole-3-carboxylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indole-3-acetamide,1.0,"(1.0, 0.77112869)","(1.0, 0.8390374)","(1.0, 0.91786955)"
indole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
imidazole propionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
imidazole lactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ibuprofen acyl glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ibuprofen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lanosterol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isohyodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactobacillic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
kynurenine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
kynurenate,1.0,"(1.0, 1.18506781)","(1.0, 1.14407906)","(1.0, 1.11773018)"
kaempferol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isovitexin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isovalerylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isovalerate (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoursodeoxycholate sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isorhamnetin 3-rutinoside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoleucylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocitric lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphorylcholine (GPC),1.0,"(1.0, 1.50862705)","(1.0, 1.49885278)","(1.0, 1.41086078)"
glutamine conjugate of C8H12O2 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoglycerol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eicosenoate (20:1n9 or 1n11),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eicosapentaenoate (EPA; 20:5n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eicosanoylsphingosine (d20:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ectoine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dopamine 3-O-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dopamine,1.0,"(1.0, 0.88002937)","(1.0, 0.88967416)","(1.0, 0.93669271)"
dodecenedioate (C12:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dodecanedioate (C12),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosapentaenoate (n6 DPA; 22:5n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosapentaenoate (DPA; 22:5n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosahexaenoylcarnitine (C22:6)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosahexaenoate (DHA; 22:6n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosadienoate (22:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dipicolinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diphenoxylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diphenhydramine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diosmin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eicosenoylcarnitine (C20:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diosmetin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
emtricitabine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
enterolactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
estriol 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
estriol 16-glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
estriol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
erythrose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
erythronate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
erythritol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
erucoylcarnitine (C22:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
erucate (22:1n9),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eriodictyol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eriocitrin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ergothioneine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ergosterol,1.0,"(1.0, 0.96773209)","(1.0, 0.98609754)","(1.0, 1.0)"
equol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
equol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
epicatechin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
epiandrosterone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
enterolactone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
enterodiol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dimethylmalonic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dimethylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dimethylarginine (ADMA + SDMA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
deoxymugineic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
deoxycholic acid glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
deoxycholic acid 12-sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
deoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
deoxycarnitine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
delta-tocopherol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dehydrophytosphingosine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dehydrolithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dehydroepiandrosterone sulfate (DHEA-S),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dehydrocholic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
decanoylcarnitine (C10),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
decadienedioic acid (C10:2-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
darunavir,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
daidzein sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
daidzein,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dCMP,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cytosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
desmethylcitalopram*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
desmethylnaproxen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dexpanthenol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diacetylspermidine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dimethyl sulfone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diltiazem,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroxyphenylalanine (L-DOPA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroquercetin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroorotate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydrokaempferol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroferulic acid sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
