#Scan#,Adduct,CAS_Number,Charge,Compound_Name,Compound_Source,Data_Collector,ExactMass,FileScanUniqueID,INCHI,INCHI_AUX,Instrument,IonMode,Ion_Source,LibMZ,LibraryName,LibraryQualityString,Library_Class,MQScore,MZErrorPPM,MassDiff,MoleculeExplorerDatasets,MoleculeExplorerFiles,NumberHits,Organism,PI,Precursor_MZ,Pubmed_ID,RT_Query,SharedPeaks,Smiles,SpecCharge,SpecMZ,SpectrumFile,SpectrumID,TIC_Query,UpdateWorkflowName,tags
104588,M+H,2724574,1,Spectral Match to Isomyristic acid from NIST14,Isolated,Data deposited by amelnik,0,spectra/specs_ms.pklbin104588,N/A,N/A,HCD,Positive,ESI,229.216,lib-00031.mgf,Bronze,3,0.728916,0,0,10,94,1,GNPS-NIST14-MATCHES,Data from P.Dorrestein,229.216,N/A,414.318,5,N/A,0,229.216,spectra/specs_ms.pklbin,CCMSLIB00003135395,4727,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1061350,M+Na,n/a,1,"NCGC00380530-01!3-(1,3-benzodioxol-5-yl)-7-[6-[[3,4-dihydroxy-4-(hydroxymethyl)oxolan-2-yl]oxymethyl]-3,4,5-trihydroxyoxan-2-yl]oxy-5,6-dimethoxychromen-4-one",isolated,lfnothias,636.169,spectra/specs_ms.pklbin1061350,"InChI=1S/C29H32O16/c1-37-24-17(44-27-23(34)22(33)21(32)18(45-27)8-40-28-26(35)29(36,9-30)10-41-28)6-16-19(25(24)38-2)20(31)13(7-39-16)12-3-4-14-15(5-12)43-11-42-14/h3-7,18,21-23,26-28,30,32-36H,8-11H2,1-2H3",N/A,Maxis II HD Q-TOF Bruker,positive,LC-ESI,659.158,lib-00002.mgf,Gold,1,0.790187,303.343,0.199951,1,3,1,GNPS-NIH-NATURALPRODUCTSLIBRARY_ROUND2_POSITIVE,Jadhav/Dorrestein,659.158,n/a,355.43,5,COC1=C(OC2OC(COC3OCC(O)(CO)C3O)C(O)C(O)C2O)C=C4OC=C(C(=O)C4=C1OC)C5=CC=C6OCOC6=C5,0,659.358,spectra/specs_ms.pklbin,CCMSLIB00000846561,116297,UPDATE-SINGLE-ANNOTATED-GOLD, 
1062541,[M+H]+,N/A,1,Sarmentoside B,isolated,MoNA:VF-NPL-QEHF014963,0,spectra/specs_ms.pklbin1062541,"InChI=1S/C34H48O13/c1-17-28(46-19(3)37)29(42-5)27(39)30(44-17)47-21-6-9-32(16-35)26-23(7-10-33(32,40)13-21)34(41)11-8-22(20-12-25(38)43-15-20)31(34,4)14-24(26)45-18(2)36/h12,16-17,21-24,26-30,39-41H,6-11,13-15H2,1-5H3/t17?,21-,22+,23?,24+,26?,27?,28?,29?,30?,31+,32-,33-,34-/m0/s1",N/A,ESI-QFT,positive,N/A,665.317,lib-00028.mgf,Bronze,3,0.808791,2801.69,1.86401,0,0,1,MONA,MoNA,665.317,N/A,617.97,21,N/A,0,663.453,spectra/specs_ms.pklbin,CCMSLIB00004706026,249031,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1062791,[M+H]+,N/A,1,Sarmentoside B,isolated,MoNA:VF-NPL-QEHF014963,0,spectra/specs_ms.pklbin1062791,"InChI=1S/C34H48O13/c1-17-28(46-19(3)37)29(42-5)27(39)30(44-17)47-21-6-9-32(16-35)26-23(7-10-33(32,40)13-21)34(41)11-8-22(20-12-25(38)43-15-20)31(34,4)14-24(26)45-18(2)36/h12,16-17,21-24,26-30,39-41H,6-11,13-15H2,1-5H3/t17?,21-,22+,23?,24+,26?,27?,28?,29?,30?,31+,32-,33-,34-/m0/s1",N/A,ESI-QFT,positive,N/A,665.317,lib-00028.mgf,Bronze,3,0.806699,2800.22,1.86304,0,0,1,MONA,MoNA,665.317,N/A,618.751,19,N/A,0,663.454,spectra/specs_ms.pklbin,CCMSLIB00004706026,21964.1,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1062792,[M+H]+,N/A,1,Sarmentoside B,isolated,MoNA:VF-NPL-QEHF014963,0,spectra/specs_ms.pklbin1062792,"InChI=1S/C34H48O13/c1-17-28(46-19(3)37)29(42-5)27(39)30(44-17)47-21-6-9-32(16-35)26-23(7-10-33(32,40)13-21)34(41)11-8-22(20-12-25(38)43-15-20)31(34,4)14-24(26)45-18(2)36/h12,16-17,21-24,26-30,39-41H,6-11,13-15H2,1-5H3/t17?,21-,22+,23?,24+,26?,27?,28?,29?,30?,31+,32-,33-,34-/m0/s1",N/A,ESI-QFT,positive,N/A,665.317,lib-00028.mgf,Bronze,3,0.813873,2800.22,1.86304,0,0,1,MONA,MoNA,665.317,N/A,616.25,22,N/A,0,663.454,spectra/specs_ms.pklbin,CCMSLIB00004706026,234728,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1062793,[M+H]+,N/A,1,Sarmentoside B,isolated,MoNA:VF-NPL-QEHF014963,0,spectra/specs_ms.pklbin1062793,"InChI=1S/C34H48O13/c1-17-28(46-19(3)37)29(42-5)27(39)30(44-17)47-21-6-9-32(16-35)26-23(7-10-33(32,40)13-21)34(41)11-8-22(20-12-25(38)43-15-20)31(34,4)14-24(26)45-18(2)36/h12,16-17,21-24,26-30,39-41H,6-11,13-15H2,1-5H3/t17?,21-,22+,23?,24+,26?,27?,28?,29?,30?,31+,32-,33-,34-/m0/s1",N/A,ESI-QFT,positive,N/A,665.317,lib-00028.mgf,Bronze,3,0.769161,2798.67,1.862,0,0,1,MONA,MoNA,665.317,N/A,619.534,22,N/A,0,663.455,spectra/specs_ms.pklbin,CCMSLIB00004706026,170946,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1066646,M+H,N/A,1,PC(16:0/9:0(COOH)); [M+H]+ C33H65N1O10P1,Commercial,Thomas Metz,0,spectra/specs_ms.pklbin1066646,N/A,N/A,HCD; Velos,Positive,LC-ESI,665.427,lib-00022.mgf,Gold,1,0.754531,1592.96,1.06,30,2309,1,PNNL-LIPIDS-POSITIVE,Thomas Metz,665.427,N/A,379.683,5,N/A,0,666.487,spectra/specs_ms.pklbin,CCMSLIB00003120249,244787,UPDATE-SINGLE-ANNOTATED-GOLD, 
1066649,M+H,N/A,1,PC(16:0/9:0(COOH)); [M+H]+ C33H65N1O10P1,Commercial,Thomas Metz,0,spectra/specs_ms.pklbin1066649,N/A,N/A,HCD; Velos,Positive,LC-ESI,665.427,lib-00022.mgf,Gold,1,0.863434,1513.34,1.00702,30,2309,1,PNNL-LIPIDS-POSITIVE,Thomas Metz,665.427,N/A,380.14,5,N/A,0,666.434,spectra/specs_ms.pklbin,CCMSLIB00003120249,22544.8,UPDATE-SINGLE-ANNOTATED-GOLD, 
106823,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin106823,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.828913,8.64898,0.0019989,0,0,1,CASMI,CASMI,231.114,73530,107.159,5,N/A,0,231.112,spectra/specs_ms.pklbin,CCMSLIB00000579738,100185,UPDATE-SINGLE-ANNOTATED-GOLD, 
106917,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin106917,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.868417,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,104.488,6,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,42759.7,UPDATE-SINGLE-ANNOTATED-GOLD, 
106939,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin106939,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.805036,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,104.167,5,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,8584.32,UPDATE-SINGLE-ANNOTATED-GOLD, 
106946,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin106946,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.813209,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,104.244,5,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,12149.7,UPDATE-SINGLE-ANNOTATED-GOLD, 
106951,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin106951,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.899919,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,105.372,6,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,114288,UPDATE-SINGLE-ANNOTATED-GOLD, 
106971,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin106971,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.826066,8.64898,0.0019989,0,0,1,CASMI,CASMI,231.114,73530,103.278,5,N/A,0,231.112,spectra/specs_ms.pklbin,CCMSLIB00000579738,4678.8,UPDATE-SINGLE-ANNOTATED-GOLD, 
107005,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin107005,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.795409,8.64898,0.0019989,0,0,1,CASMI,CASMI,231.114,73530,106.282,5,N/A,0,231.112,spectra/specs_ms.pklbin,CCMSLIB00000579738,7456.7,UPDATE-SINGLE-ANNOTATED-GOLD, 
107167,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin107167,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.875004,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,108.156,6,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,4769.45,UPDATE-SINGLE-ANNOTATED-GOLD, 
107181,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin107181,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.838064,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,106.962,5,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,9515.59,UPDATE-SINGLE-ANNOTATED-GOLD, 
107187,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin107187,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.80284,8.64898,0.0019989,0,0,1,CASMI,CASMI,231.114,73530,107.779,5,N/A,0,231.112,spectra/specs_ms.pklbin,CCMSLIB00000579738,6798.54,UPDATE-SINGLE-ANNOTATED-GOLD, 
107190,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin107190,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.853062,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,106.02,5,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,8390.83,UPDATE-SINGLE-ANNOTATED-GOLD, 
107193,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin107193,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.829522,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,108.156,5,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,4928.02,UPDATE-SINGLE-ANNOTATED-GOLD, 
107233,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin107233,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.817577,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,106.173,5,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,8356.72,UPDATE-SINGLE-ANNOTATED-GOLD, 
107595,M+H,N/A,1,"1,2,3,4-tetrahydroharmane-3-carboxylic acid",Commercial,CASMI2016,0,spectra/specs_ms.pklbin107595,"InChI=1S/C13H14N2O2/c1-7-12-9(6-11(14-7)13(16)17)8-4-2-3-5-10(8)15-12/h2-5,7,11,14-15H,6H2,1H3,(H,16,17)", ,qTof,Positive,LC-ESI,231.114,lib-00026.mgf,Gold,1,0.801213,4.29148,0.000991821,0,0,1,CASMI,CASMI,231.114,73530,105.988,5,N/A,0,231.113,spectra/specs_ms.pklbin,CCMSLIB00000579738,4000,UPDATE-SINGLE-ANNOTATED-GOLD, 
1076632,2M+H,112845,1,"Spectral Match to 13-Docosenamide, (Z)- from NIST14",Isolated,Data deposited by alchemistmatt,0,spectra/specs_ms.pklbin1076632,N/A,N/A,QqQ,Positive,ESI,675.677,lib-00031.mgf,Bronze,3,0.886442,0,0,345,29203,1,GNPS-NIST14-MATCHES,Data from Katrina Waters;Yoshihiro Kawaoka;Richard Smith;Thomas Metz;Ralph Baric,675.677,N/A,498.718,14,N/A,0,675.677,spectra/specs_ms.pklbin,CCMSLIB00003139907,7762.52,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1110841,2M+Na,542449,1,Spectral Match to 1-Hexadecanoyl-sn-glycerol from NIST14,Isolated,Data deposited by mernst,0,spectra/specs_ms.pklbin1110841,N/A,N/A,QqQ,Positive,ESI,683.542,lib-00031.mgf,Bronze,3,0.91922,485.662,0.33197,135,8671,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,683.542,N/A,267.61,6,N/A,0,683.21,spectra/specs_ms.pklbin,CCMSLIB00003136299,22774.5,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1110845,2M+Na,542449,1,Spectral Match to 1-Hexadecanoyl-sn-glycerol from NIST14,Isolated,Data deposited by mernst,0,spectra/specs_ms.pklbin1110845,N/A,N/A,QqQ,Positive,ESI,683.542,lib-00031.mgf,Bronze,3,0.926874,487.18,0.333008,135,8671,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,683.542,N/A,267.461,5,N/A,0,683.209,spectra/specs_ms.pklbin,CCMSLIB00003136299,4858.99,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1112211,2M+Na,542449,1,Spectral Match to 1-Hexadecanoyl-sn-glycerol from NIST14,Isolated,Data deposited by mernst,0,spectra/specs_ms.pklbin1112211,N/A,N/A,QqQ,Positive,ESI,683.543,lib-00031.mgf,Bronze,3,0.885266,105.365,0.0720215,135,8671,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,683.543,N/A,241.136,8,N/A,0,683.471,spectra/specs_ms.pklbin,CCMSLIB00003134531,17863.3,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1112213,2M+Na,542449,1,Spectral Match to 1-Hexadecanoyl-sn-glycerol from NIST14,Isolated,Data deposited by mernst,0,spectra/specs_ms.pklbin1112213,N/A,N/A,QqQ,Positive,ESI,683.542,lib-00031.mgf,Bronze,3,0.896227,103.847,0.0709839,135,8671,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,683.542,N/A,240.605,5,N/A,0,683.471,spectra/specs_ms.pklbin,CCMSLIB00003136299,27650.8,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1113476,M+H,N/A,1,Spectral Match to Undecaethylene glycol tridecyl ether from NIST14,Isolated,Data deposited by abouslimani,0,spectra/specs_ms.pklbin1113476,N/A,N/A,QqQ,Positive,ESI,685.512,lib-00031.mgf,Bronze,3,0.888402,2.93818,0.00201416,16,1208,1,GNPS-NIST14-MATCHES,Data from Maria Gloria Dominguez-Bello and Pieter Dorrestein,685.512,N/A,395.29,27,N/A,0,685.51,spectra/specs_ms.pklbin,CCMSLIB00003139121,39946.1,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1127685,2M+Na,6614353,1,Spectral Match to Glycan 6.alpha.-Mannobiose from NIST14,Isolated,Data deposited by t3hdon,0,spectra/specs_ms.pklbin1127685,N/A,N/A,IT/ion trap,Positive,ESI,707.228,lib-00031.mgf,Bronze,3,0.819379,76.2909,0.0539551,0,0,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,707.228,N/A,349.034,5,N/A,0,707.282,spectra/specs_ms.pklbin,CCMSLIB00003137027,254931,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1127805,M+Na+H2O,N/A,1,Polysaccharide Hexose x4,Crude,J Watrous,0,spectra/specs_ms.pklbin1127805,N/A,N/A,LTQ-FT-ICR,Positive,DI-ESI,707.226,lib-00013.mgf,Bronze,3,0.745594,80.6062,0.0570068,7,92,1,GNPS-LIBRARY,Dorrestein,707.226,N/A,357.47,5,N/A,0,707.283,spectra/specs_ms.pklbin,CCMSLIB00000072212,25993.4,UPDATE-SINGLE-ANNOTATED-BRONZE, 
1127845,2M+Na,2152989,1,Spectral Match to Glycan 4.beta.-Galactobiose from NIST14,Isolated,Data deposited by t3hdon,0,spectra/specs_ms.pklbin1127845,N/A,N/A,IT/ion trap,Positive,ESI,707.24,lib-00031.mgf,Bronze,3,0.87382,60.8418,0.0430298,11,224,1,GNPS-NIST14-MATCHES,Data from Pieter Dorrestein,707.24,N/A,355.901,5,N/A,0,707.283,spectra/specs_ms.pklbin,CCMSLIB00003137777,5989.48,UPDATE-SINGLE-ANNOTATED-BRONZE, 
