,Median OR,95% Interval,90% Interval,75% Interval
glycohyocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hydroxyproline,1.0,"(1.0, 1.00611864)","(1.0, 1.00601804)","(1.0, 1.0)"
ibuprofen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hypotaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenoylcarnitine (C18:3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenoyl-linolenoyl-glycerol (18:3/18:3) [1]*,1.0,"(1.0, 1.01005017)","(1.0, 1.00772972)","(1.0, 1.0)"
linolenoyl ethanolamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linolenate (18:3n3 or 3n6),1.0,"(1.0, 1.02020134)","(1.0, 1.02020134)","(1.0, 1.01015118)"
linoleate (18:2n6),1.0,"(1.0, 1.04081077)","(1.0, 1.04081077)","(1.0, 1.01765402)"
limonin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lignoceroylcarnitine (C24)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lignoceroyl sphingomyelin (d18:1/24:0),1.0,"(1.0, 1.02020134)","(1.0, 1.02020134)","(1.0, 1.01015118)"
levulinate (4-oxovalerate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
levetiracetam,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylglutamine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
leucine,1.0,"(1.0, 1.00160128)","(1.0, 1.0)","(1.0, 1.0)"
laurylcarnitine (C12),1.0,"(1.0, 1.00390761)","(1.0, 1.00330545)","(1.0, 1.0)"
laurate (12:0),1.0,"(1.0, 1.01005017)","(1.0, 1.01005017)","(1.0, 1.0)"
lignoceroyl ethanolamide (24:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lansoprazole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-arachidonoyl-glycerol (18:2/20:4) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linolenoyl-glycerol (18:2/18:3) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
malonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
maleate,1.0,"(1.0, 1.01005017)","(1.0, 1.0)","(1.0, 1.0)"
malate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lysylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
luteolin sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
luteolin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lovastatin hydroxy acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linolenoyl-glycerol (18:2/18:3) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
losartan,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
loperamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lithocholic acid sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lithocholate sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lisinopril,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoylcarnitine (C18:2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linoleoyl-glycerol (18:2/18:2) [2]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
linoleoyl-linoleoyl-glycerol (18:2/18:2) [1]*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
loratadine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hyocholate,1.0,"(1.0, 1.00652117)","(1.0, 1.0)","(1.0, 1.0)"
lanosterol,1.0,"(1.0, 1.01015118)","(1.0, 1.01015118)","(1.0, 1.0)"
lactosyl-N-palmitoyl-sphingosine (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproate (i6:0),1.0,"(1.0, 1.04081077)","(1.0, 1.04081077)","(1.0, 1.0204054)"
isobutyrylglycine (C4),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isobutyrylcarnitine (C4),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
inosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolin-2-one,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolepropionate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indolelactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacrylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacetylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indole-3-carboxylate,1.0,"(1.0, 1.01015118)","(1.0, 1.01015118)","(1.0, 1.00230265)"
indole-3-acetamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indole,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
imidazole propionate,1.0,"(1.0, 1.00762895)","(1.0, 1.0)","(1.0, 1.0)"
imidazole lactate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ibuprofen acyl glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutarate (C5-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
hypoxanthine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
indoleacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lamivudine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocitric lactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactosyl-N-nervonoyl-sphingosine (d18:1/24:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactosyl-N-behenoyl-sphingosine (d18:1/22:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactobacillic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lactate,1.0,"(1.0, 1.02020134)","(1.0, 1.02020134)","(1.0, 1.01015118)"
kynurenine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
kynurenate,1.0,"(1.0, 1.02020134)","(1.0, 1.02020134)","(1.0, 1.01015118)"
kaempferol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isocaproyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoxanthohumol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isovalerylglycine,1.0,"(1.0, 1.01015118)","(1.0, 1.00702456)","(1.0, 1.0)"
isovalerate (C5),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoursodeoxycholate sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isorhamnetin 3-rutinoside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoleucylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isoleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isohyodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
isovitexin,1.0,"(1.0, 1.00732671)","(1.0, 1.0)","(1.0, 1.0)"
glutamyl-meso-diaminopimelate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C9H16O2 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosahexaenoylcarnitine (C22:6)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosahexaenoate (DHA; 22:6n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosadienoate (22:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dipicolinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diphenoxylate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diphenhydramine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diosmin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diosmetin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dimethylmalonic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dimethylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dimethylarginine (ADMA + SDMA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dimethyl sulfone,1.0,"(1.0, 1.02132418)","(1.0, 1.01116183)","(1.0, 1.01005017)"
diltiazem,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroxyphenylalanine (L-DOPA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroquercetin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroorotate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydrokaempferol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosapentaenoate (DPA; 22:5n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroferulic acid sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
docosapentaenoate (n6 DPA; 22:5n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dodecenedioate (C12:1-DC)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ergothioneine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ergosterol,1.0,"(1.0, 1.01005017)","(1.0, 1.00772972)","(1.0, 1.0)"
equol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
equol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
epicatechin,1.0,"(1.0, 1.00250313)","(1.0, 1.0)","(1.0, 1.0)"
epiandrosterone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
enterolactone sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
enterolactone,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
enterodiol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
emtricitabine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eicosenoylcarnitine (C20:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eicosenoate (20:1n9 or 1n11),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eicosapentaenoate (EPA; 20:5n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eicosanoylsphingosine (d20:1)*,1.0,"(1.0, 1.01015118)","(1.0, 1.0)","(1.0, 1.0)"
ectoine,1.0,"(1.0, 1.01015118)","(1.0, 1.01015118)","(1.0, 1.01015118)"
dopamine 3-O-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dopamine,1.0,"(1.0, 1.00762895)","(1.0, 1.00642052)","(1.0, 1.0)"
dodecanedioate (C12),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydroferulate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydrocaffeate sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihydrocaffeate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dehydroepiandrosterone sulfate (DHEA-S),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dehydrocholic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
decanoylcarnitine (C10),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
decadienedioic acid (C10:2-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
darunavir,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
daidzein sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
daidzein,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dCMP,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cytosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"cytidine 2',3'-cyclic monophosphate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cytidine 2' or 3'-monophosphate (2' or 3'-CMP),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cytidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cystine,1.0,"(1.0, 1.0121735)","(1.0, 1.00924245)","(1.0, 1.0)"
cysteinylglycine disulfide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cysteinylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
cysteine sulfinic acid,1.0,"(1.0, 1.0204054)","(1.0, 1.0)","(1.0, 1.0)"
cysteine s-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dehydrolithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dehydrophytosphingosine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
delta-tocopherol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
deoxycarnitine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihomolinolenate (20:3n3 or 3n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dihomolinoleate (20:2n6),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diglycerol,1.0,"(1.0, 1.02020134)","(1.0, 1.02020134)","(1.0, 1.0)"
digalacturonic acid,1.0,"(1.0, 1.01928357)","(1.0, 1.01015118)","(1.0, 1.0)"
digalactosylglycerol*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dibutyl sulfosuccinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diaminopimelate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"diacylglycerol (16:1/18:2 [2], 16:0/18:3 [1])*",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
eriocitrin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
diacetylspermidine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
dexpanthenol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
desmethylnaproxen,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
desmethylcitalopram*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
deoxymugineic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
deoxycholic acid glucuronide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
