,Median OR,95% Interval,90% Interval,75% Interval
loperamide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mannose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mannonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
mannitol/sorbitol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
1-methyladenosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
maltose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
maltol,1.0,"(1.0, 0.89843582)","(1.0, 0.9564756)","(1.0, 1.0)"
maltitol/lactitol/cellobiotol/palatinol,1.0,"(1.0, 1.0296305)","(1.0, 1.0)","(1.0, 1.0)"
malonylcarnitine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyl-beta-glucosaminylamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
malonate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
malate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lysylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lysine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
luteolin sulfate,1.0,"(1.0, 1.0787468)","(1.0, 1.05432421)","(1.0, 1.0)"
luteolin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lovastatin hydroxy acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
losartan,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
loratadine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
maleate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyl-cadaverine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-succinyl-leucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyl-S-allyl-L-cysteine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-methylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-methylhydroxyproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-methylhydantoin,1.0,"(1.0, 1.07530033)","(1.0, 1.0)","(1.0, 1.0)"
N-methylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"N-[3',4'-dihydroxy-(E)-cinnamoyl]-L-tyrosine",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-linoleoyltaurine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-linoleoylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-formylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-formylmethionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-formylanthranilic acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-desmethyl tramadol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-desmethyl rosuvastatin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-delta-acetylornithine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-carboxymethylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-carbamoylputrescine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-carbamoylglutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-carbamoylaspartate,1.0,"(1.0, 1.06673225)","(1.0, 1.0)","(1.0, 1.0)"
N-methylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-carbamoylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-methylpipecolate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-methyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-stearoyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-stearoyl-sphingosine (d18:1/18:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-stearoyl-sphinganine (d18:0/18:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-propionylmethionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-propionylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-palmitoyltaurine,1.0,"(1.0, 1.01775579)","(1.0, 1.0)","(1.0, 1.0)"
N-palmitoylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-palmitoyl-sphingosine (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-palmitoyl-sphinganine (d18:0/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-palmitoyl-phytosphingosine (t18:0/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-palmitoyl-heptadecasphingosine (d17:1/16:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-oleoyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-oleoylserine,1.0,"(1.0, 0.57787367)","(1.0, 0.73381377)","(1.0, 0.9343539)"
N-oleoylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-oleoyl-sphingosine (d18:1/18:1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-octanoylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-monomethylarginine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-methylproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-succinyl-phenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-butyryl-phenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-butyryl-isoleucine,1.0,"(1.0, 0.78160952)","(1.0, 0.81228826)","(1.0, 1.0)"
N-acetylhistamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylglycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylglutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylglutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylglucosaminylasparagine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylglucosamine/N-acetylgalactosamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylglucosamine conjugate of C24H40O4 bile acid,1.0,"(1.0, 1.21312539)","(1.0, 1.03520554)","(1.0, 1.0)"
N-acetylglucosamine conjugate of C24H38O4 bile acid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylglucosamine 6-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylcitrulline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylcarnosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylaspartate (NAA),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylasparagine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylarginine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
lignoceroylcarnitine (C24)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylalliin,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylhistidine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-butyryl-leucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylhomocitrulline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-behenoyl-sphingadienine (d18:2/22:0)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-alpha-acetylornithine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylvaline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyltyrosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyltryptophan,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylthreonine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyltaurine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylsphingosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylserine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylpyrraline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylputrescine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylproline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylphenylalanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylneuraminate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylmuramate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylmethionine sulfoxide,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylmethionine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetylisoleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
N-acetyl-isoputreanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
levetiracetam,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
levulinate (4-oxovalerate),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycolithocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycohyocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycodeoxycholate 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholenate sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate glucuronide (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycocholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate glucuronide (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate 3-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycochenodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glyco-beta-muricholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycitein sulfate (2),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycitein,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoserine*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphorylcholine (GPC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycolithocholate sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"glycosyl ceramide (d18:1/20:0, d16:1/22:0)*",1.0,"(1.0, 1.40874607)","(1.0, 1.19925436)","(1.0, 1.08654181)"
glycosyl-N-(2-hydroxynervonoyl)-sphingosine (d18:1/24:1(2OH))*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycosyl-N-palmitoyl-sphingosine (d18:1/16:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
HEPES,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heneicosapentaenoate (21:5n3),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heme,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
harmane,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gulonate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"guanosine-2',3'-cyclic monophosphate",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanosine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoinositol*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanidinosuccinate,1.0,"(1.0, 1.19363109)","(1.0, 1.13757636)","(1.0, 1.0)"
guaiacol sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycyrrhetinate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylvaline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycylisoleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycoursodeoxycholic acid sulfate (1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycoursodeoxycholate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycosyl-N-stearoyl-sphingosine (d18:1/18:0),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
guanidinoacetate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptadecasphingosine (d17:1),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoglycerol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerol 3-phosphate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucose,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucosamine 6-sulfate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gluconate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
GlcNAc sulfate conjugate of C21H34O2 steroid,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ginkgolic acid C17:1,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ginkgolic acid C15:1,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
ginkgolic acid C13:0,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gentisic acid-5-glucoside,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gentisate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
genistein sulfate*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
genistein glucuronide*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
genistein,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-tocotrienol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-tocopherol/beta-tocopherol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamylvaline,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
gamma-glutamyltyrosine,1.0,"(1.0, 1.10031885)","(1.0, 1.06481386)","(1.0, 1.0)"
gamma-glutamylthreonine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of C10H18O2 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of C10H18O2 (7)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of C10H18O2 (8)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerol,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutarylcarnitine (C5-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutarate (C5-DC),1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamyl-meso-diaminopimelate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutaminylleucine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C9H16O2 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C8H12O2 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glycerophosphoethanolamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C7H12O2*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C6H10O2 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
"glutamate, gamma-methyl ester",1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamate,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of piperine metabolite C17H21NO3 (6)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of piperine metabolite C17H21NO3 (4)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of piperine metabolite C17H21NO3 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glucuronide of C16H30O4 (1)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
glutamine conjugate of C6H10O2 (2)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
heptadecatrienoate (17:3)*,1.0,"(1.0, 1.0)","(1.0, 1.0)","(1.0, 1.0)"
